countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date,weekOfYear
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2008/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2008/01/02,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2008/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2008/03/21,12
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2008/03/24,13
United Kingdom,May Day,May Day,TRUE,GB,2008/05/05,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2008/05/26,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2008/07/12,28
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2008/08/04,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2008/08/25,35
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2008/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2008/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2008/12/26,52
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2009/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2009/01/02,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2009/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2009/04/10,15
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2009/04/13,16
United Kingdom,May Day,May Day,TRUE,GB,2009/05/04,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2009/05/25,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2009/07/12,29
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2009/08/03,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2009/08/31,36
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2009/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2009/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2009/12/26,52
United Kingdom,Boxing Day (Observed),Boxing Day,TRUE,GB,2009/12/28,53
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2010/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2010/01/02,1
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,TRUE,GB,2010/01/04,2
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2010/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2010/04/02,14
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2010/04/05,15
United Kingdom,May Day,May Day,TRUE,GB,2010/05/03,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2010/05/31,23
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2010/07/12,29
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2010/08/02,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2010/08/30,36
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2010/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2010/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2010/12/26,53
United Kingdom,Christmas Day (Observed),Christmas Day,TRUE,GB,2010/12/27,53
United Kingdom,Boxing Day (Observed),Boxing Day,TRUE,GB,2010/12/28,53
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2011/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2011/01/02,2
United Kingdom,New Year's Day (Observed),New Year's Day,TRUE,GB,2011/01/03,2
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,TRUE,GB,2011/01/04,2
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2011/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2011/04/22,17
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2011/04/25,18
United Kingdom,Wedding of William and Catherine,Wedding of William and Catherine,FALSE,GB,2011/04/29,18
United Kingdom,May Day,May Day,TRUE,GB,2011/05/02,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2011/05/30,23
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2011/07/12,29
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2011/08/01,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2011/08/29,36
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2011/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2011/12/25,53
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2011/12/26,53
United Kingdom,Christmas Day (Observed),Christmas Day,TRUE,GB,2011/12/27,53
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2012/01/01,1
United Kingdom,"New Year Holiday [Scotland], New Year's Day (Observed)","New Year Holiday , New Year's Day",TRUE,GB,2012/01/02,1
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,TRUE,GB,2012/01/03,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2012/03/17,11
United Kingdom,St. Patrick's Day [Northern Ireland] (Observed),St. Patrick's Day,FALSE,GB,2012/03/19,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2012/04/06,14
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2012/04/09,15
United Kingdom,May Day,May Day,TRUE,GB,2012/05/07,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2012/06/04,23
United Kingdom,Diamond Jubilee of Elizabeth II,Diamond Jubilee of Elizabeth II,FALSE,GB,2012/06/05,23
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2012/07/12,28
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2012/08/06,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2012/08/27,35
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2012/11/30,48
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2012/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2012/12/26,52
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2013/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2013/01/02,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2013/03/17,12
United Kingdom,St. Patrick's Day [Northern Ireland] (Observed),St. Patrick's Day,FALSE,GB,2013/03/18,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2013/03/29,13
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2013/04/01,14
United Kingdom,May Day,May Day,TRUE,GB,2013/05/06,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2013/05/27,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2013/07/12,28
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2013/08/05,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2013/08/26,35
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2013/11/30,48
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2013/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2013/12/26,52
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2014/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2014/01/02,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2014/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2014/04/18,16
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2014/04/21,17
United Kingdom,May Day,May Day,TRUE,GB,2014/05/05,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2014/05/26,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2014/07/12,28
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2014/08/04,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2014/08/25,35
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2014/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2014/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2014/12/26,52
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2015/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2015/01/02,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2015/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2015/04/03,14
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2015/04/06,15
United Kingdom,May Day,May Day,TRUE,GB,2015/05/04,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2015/05/25,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2015/07/12,29
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2015/08/03,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2015/08/31,36
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2015/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2015/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2015/12/26,52
United Kingdom,Boxing Day (Observed),Boxing Day,TRUE,GB,2015/12/28,53
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2016/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2016/01/02,1
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,TRUE,GB,2016/01/04,2
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2016/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2016/03/25,13
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2016/03/28,14
United Kingdom,May Day,May Day,TRUE,GB,2016/05/02,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2016/05/30,23
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2016/07/12,29
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2016/08/01,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2016/08/29,36
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2016/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2016/12/25,53
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2016/12/26,53
United Kingdom,Christmas Day (Observed),Christmas Day,TRUE,GB,2016/12/27,53
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2017/01/01,1
United Kingdom,"New Year Holiday [Scotland], New Year's Day (Observed)","New Year Holiday , New Year's Day",TRUE,GB,2017/01/02,1
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,TRUE,GB,2017/01/03,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2017/03/17,11
United Kingdom,Good Friday,Good Friday,TRUE,GB,2017/04/14,15
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2017/04/17,16
United Kingdom,May Day,May Day,TRUE,GB,2017/05/01,18
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2017/05/29,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2017/07/12,28
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2017/08/07,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2017/08/28,35
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2017/11/30,48
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2017/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2017/12/26,52
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2018/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2018/01/02,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2018/03/17,11
United Kingdom,St. Patrick's Day [Northern Ireland] (Observed),St. Patrick's Day,FALSE,GB,2018/03/19,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2018/03/30,13
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2018/04/02,14
United Kingdom,May Day,May Day,TRUE,GB,2018/05/07,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2018/05/28,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2018/07/12,28
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2018/08/06,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2018/08/27,35
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2018/11/30,48
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2018/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2018/12/26,52
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2019/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2019/01/02,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2019/03/17,12
United Kingdom,St. Patrick's Day [Northern Ireland] (Observed),St. Patrick's Day,FALSE,GB,2019/03/18,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2019/04/19,16
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2019/04/22,17
United Kingdom,May Day,May Day,TRUE,GB,2019/05/06,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2019/05/27,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2019/07/12,28
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2019/08/05,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2019/08/26,35
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2019/11/30,48
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2019/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2019/12/26,52
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2020/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2020/01/02,1
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2020/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2020/04/10,15
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2020/04/13,16
United Kingdom,May Day,May Day,TRUE,GB,2020/05/08,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2020/05/25,22
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2020/07/12,29
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2020/08/03,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2020/08/31,36
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2020/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2020/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2020/12/26,52
United Kingdom,Boxing Day (Observed),Boxing Day,TRUE,GB,2020/12/28,53
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2021/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2021/01/02,1
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,TRUE,GB,2021/01/04,2
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2021/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2021/04/02,14
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2021/04/05,15
United Kingdom,May Day,May Day,TRUE,GB,2021/05/03,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2021/05/31,23
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2021/07/12,29
United Kingdom,Summer Bank Holiday [Scotland],Summer Bank Holiday,FALSE,GB,2021/08/02,32
United Kingdom,"Late Summer Bank Holiday [England, Wales, Northern Ireland]",Late Summer Bank Holiday,TRUE,GB,2021/08/30,36
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,FALSE,GB,2021/11/30,49
United Kingdom,Christmas Day,Christmas Day,TRUE,GB,2021/12/25,52
United Kingdom,Boxing Day,Boxing Day,TRUE,GB,2021/12/26,53
United Kingdom,Christmas Day (Observed),Christmas Day,TRUE,GB,2021/12/27,53
United Kingdom,Boxing Day (Observed),Boxing Day,TRUE,GB,2021/12/28,53
United Kingdom,New Year's Day,New Year's Day,TRUE,GB,2022/01/01,1
United Kingdom,New Year Holiday [Scotland],New Year Holiday,TRUE,GB,2022/01/02,2
United Kingdom,New Year's Day (Observed),New Year's Day,TRUE,GB,2022/01/03,2
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,TRUE,GB,2022/01/04,2
United Kingdom,St. Patrick's Day [Northern Ireland],St. Patrick's Day,FALSE,GB,2022/03/17,12
United Kingdom,Good Friday,Good Friday,TRUE,GB,2022/04/15,16
United Kingdom,"Easter Monday [England, Wales, Northern Ireland]",Easter Monday,TRUE,GB,2022/04/18,17
United Kingdom,May Day,May Day,TRUE,GB,2022/05/02,19
United Kingdom,Spring Bank Holiday,Spring Bank Holiday,TRUE,GB,2022/05/30,23
United Kingdom,Battle of the Boyne [Northern Ireland],Battle of the Boyne,FALSE,GB,2022/07/12,29
